Time,Res_percent
28.267188,0.077119592
28.337452,0.062789194
28.407422,0.052920371
28.474949,0.064317953
28.550489,0.102412884
28.637021,0.167301736
28.709228,0.255147001
28.778919,0.358933776
28.849552,0.445940906
28.922855,0.502785777
28.987033,0.526764307
29.052157,0.526032975
29.118932,0.505202433
29.185189,0.481209734
29.254068,0.462063953
29.318858,0.44938455
29.388549,0.438848316
29.458554,0.431482488
29.529055,0.433657826
29.604895,0.441116013
29.676995,0.446512913
29.751382,0.445759344
29.825043,0.434736743
29.896285,0.398651481
29.966497,0.342393481
30.037121,0.28017671
30.105931,0.220179531
30.179903,0.165974728
30.250557,0.126949865
30.325168,0.101923875
30.396916,0.084523984
30.471836,0.070661013
30.544938,0.059801714
30.618626,0.061471829
30.6945,0.085622235
30.764966,0.137112484
30.835418,0.213766293
30.906036,0.311814714
30.977458,0.408138499
31.048627,0.48126116
31.124033,0.520425637
31.198251,0.529457868
31.269826,0.515390976
31.339901,0.490854983
31.407595,0.467406547
31.48189,0.45097041
31.551864,0.440423548
31.620413,0.432004432
31.690157,0.432608068
31.759816,0.441147966
31.830363,0.451264246
31.89932,0.456739039
31.968718,0.454525587
32.041186,0.428273322
32.114997,0.37861176
32.185644,0.316211338
32.255545,0.251959282
32.32202,0.191454933
32.388541,0.14513141
32.453987,0.113416803
32.517154,0.092466464
32.58516,0.077088656
32.653878,0.064735039
32.724947,0.05438272
32.796218,0.057045445
32.867752,0.081692144
32.940929,0.133132763
33.009082,0.210222641
33.07828,0.308707132
33.149805,0.404974934
33.224116,0.477513807
33.297386,0.516659708
33.370579,0.525183424
33.443693,0.510608017
33.515103,0.485563509
33.583202,0.463186462
33.65656,0.448329052
33.726884,0.439360919
33.802696,0.433044821
33.877877,0.435751476
33.955612,0.443213173
34.026751,0.448086954
34.101184,0.446790868
34.169169,0.435751209
34.240619,0.400672736
34.308936,0.34591892
34.377588,0.28570158
34.448718,0.227184613
34.518341,0.174953136
34.591364,0.136902486
34.663619,0.11185592
34.735422,0.093935954
34.809493,0.079069645
34.882974,0.066220781
34.956814,0.060821124
35.024111,0.075736396
35.093804,0.11587071
35.164922,0.183294192
35.234878,0.273139145
35.309452,0.372950343
35.390281,0.454885933
35.463897,0.507150258
35.532102,0.526021612
35.604655,0.520726357
35.67596,0.498319526
35.746456,0.474861785
35.816388,0.455726672
35.886536,0.444635487
35.958214,0.436205791
36.029743,0.437330203
36.103917,0.445342296
36.177192,0.455458575
36.246618,0.459374209
36.32093,0.455097676
36.39453,0.42678233
36.467725,0.375581977
36.54256,0.311642766
36.615461,0.247397366
36.691492,0.188401694
36.762596,0.143094797
36.835023,0.112396815
36.905748,0.091972107
36.975289,0.076609354
37.044638,0.063268451
37.118344,0.05836086
37.192345,0.073768198
37.267443,0.115376565
37.342324,0.183234169
37.414336,0.273562486
37.477148,0.373364996
37.544745,0.455820884
37.610919,0.508114512
37.676202,0.529158977
37.742221,0.525456886
37.810084,0.505168679
37.876496,0.48277159
37.947158,0.46522142
38.023562,0.452537331
38.093403,0.443049671
38.167783,0.436206958
38.240783,0.43785683
38.309819,0.445323293
38.379756,0.452289867
38.449885,0.453086574
38.517658,0.443591615
38.588432,0.410057842
38.663044,0.355283846
38.738496,0.292979143
38.808622,0.232374812
38.880289,0.177575782
38.952062,0.136957578
39.023823,0.110871991
39.092609,0.092946595
39.162199,0.078074856
39.230646,0.066213325
39.308165,0.06330948
39.379062,0.081284693
39.448723,0.125022402
39.522463,0.195504594
39.592241,0.286894635
39.666542,0.384702609
39.741045,0.463040912
39.813859,0.510621043
39.881726,0.526424204
39.952105,0.519618182
40.02754,0.498271773
40.10043,0.475878009
40.174424,0.458874616
40.246636,0.448317206
40.317967,0.439887541
40.391175,0.440480629
40.461769,0.447419294
40.534444,0.452809487
40.61205,0.452016207
40.685964,0.443030759
40.756018,0.410006498
40.831361,0.356239408
40.899661,0.295465902
40.968214,0.235405125
41.037481,0.180099898
41.109263,0.138975498
41.174451,0.111388925
41.242606,0.091962542
41.307805,0.077088656
41.375139,0.064735039
41.450817,0.056348818
41.52005,0.064599259
41.589911,0.096985517
41.661258,0.155621011
41.734552,0.237749063
41.808095,0.336806984
41.876743,0.425874816
41.952243,0.487437833
42.024104,0.51722388
42.094892,0.521227771
42.168289,0.505163734
42.244181,0.483312549
42.314797,0.465225058
42.38607,0.453059259
42.458746,0.443572775
42.54229,0.439376185
42.613983,0.44421196
42.68445,0.45273651
42.752951,0.458170731
42.825274,0.456948358
42.897675,0.439139867
42.971325,0.395713446
43.047451,0.335302432
43.122799,0.270990733
43.205683,0.209910877
43.282301,0.15929038
43.360674,0.123897551
43.429214,0.100909523
43.49919,0.084518551
43.568473,0.071158373
43.648531,0.066270296
43.720719,0.083257144
43.792841,0.125959355
43.868903,0.194910802
43.942441,0.285798019
44.012765,0.383596284
44.085655,0.461924877
44.16045,0.510582204
44.228877,0.527462561
44.304629,0.520666249
44.376487,0.49932955
44.449048,0.476945495
44.52117,0.459408359
44.596534,0.447792915
44.668035,0.438838959
44.743712,0.438907755
44.815122,0.445322129
44.889588,0.450706542
44.961818,0.450447719
45.037074,0.441996729
45.110702,0.409506926
45.182724,0.356274294
45.253884,0.295494544
45.321642,0.23591992
45.392867,0.181100845
45.461481,0.140462597
45.533877,0.113854228
45.604233,0.094931923
45.674257,0.080544764
45.744751,0.069167813
45.821285,0.064739427
45.894507,0.07911288
45.965324,0.119201695
46.039098,0.185102443
46.107822,0.273515872
46.172716,0.373429377
46.2382,0.458076452
46.303744,0.513581247
46.371677,0.536710695
46.441844,0.534021298
46.511329,0.513180045
46.578379,0.488640588
46.648757,0.467365789
46.725446,0.452557366
46.795855,0.441481519
46.866336,0.435166589
46.94092,0.437874412
47.014619,0.445848578
47.092528,0.450732415
47.164116,0.448433027
47.239749,0.432172303
47.312724,0.391373211
47.386316,0.333065234
47.462261,0.27135182
47.534586,0.21237607
47.609655,0.161794691
47.682898,0.126393251
47.755886,0.103396611
47.823703,0.086497528
47.896777,0.073617596
47.979538,0.065710633
48.04989,0.074476668
48.120133,0.10841584
48.189855,0.168662193
48.260153,0.251958579
48.329233,0.351231642
48.399152,0.439962734
48.476161,0.500107011
48.556218,0.52787594
48.635975,0.528751316
48.704321,0.508957636
48.774142,0.483898775
48.845955,0.463670067
48.917411,0.449907737
48.989108,0.440415335
49.058213,0.436734768
49.12857,0.442086566
49.202704,0.450606391
49.274074,0.456549841
49.343798,0.455816192
49.418383,0.440595748
49.491602,0.399757374
49.558658,0.341896923
49.626502,0.280099444
49.693053,0.220521556
49.762368,0.169832218
49.828553,0.1348626
49.900175,0.112325214
49.968347,0.095406702
50.036521,0.082516102
50.110511,0.071144527
50.185319,0.071277843
50.259644,0.093404741
50.335031,0.142335139
50.403878,0.215447107
50.476908,0.310494846
50.549437,0.405336829
50.621814,0.477469741
50.69181,0.517227305
50.764634,0.527343618
50.840674,0.51378326
50.913536,0.489789615
50.983384,0.467407817
51.055611,0.452016689
51.12569,0.442514836
51.19997,0.43567447
51.268566,0.437326689
51.340556,0.444795499
51.41381,0.450706542
51.483252,0.450956063
51.550837,0.443013418
51.622629,0.411031958
51.695839,0.35830767
51.766132,0.297539945
51.838471,0.237455905
51.912653,0.182127414
51.982816,0.14097975
52.051588,0.113861966
52.119959,0.095422883
52.194905,0.080545801
52.265728,0.068678928
52.339599,0.064762994
