Time,Res_percent
75.836657,2.069142239
75.896344,2.141775868
75.957193,2.193859161
76.025829,2.20249172
76.091866,2.170957815
76.153938,2.06618665
76.220273,1.885800193
76.28542,1.694388129
76.344736,1.497889881
76.402219,1.261368135
76.46996,1.041211978
76.539657,0.846062095
76.61084,0.661816059
76.672696,0.499293429
76.733423,0.402343528
76.792846,0.364374165
76.853138,0.405044392
76.915434,0.527358355
76.975628,0.732888929
77.039542,0.997831562
77.1033,1.285447842
77.169258,1.571364288
77.234394,1.831519112
77.296361,2.05418967
77.356034,2.232549803
77.41993,2.384207735
77.483074,2.472270105
77.54755,2.506528825
77.61167,2.478964029
77.675063,2.407423007
77.738282,2.283057798
77.805555,2.180516233
77.869006,2.106802251
77.936528,2.07346091
78.005036,2.08494242
78.071237,2.143503325
78.134276,2.211142022
78.196599,2.239032712
78.257108,2.242210209
78.319368,2.197990558
78.381965,2.098426914
78.443041,1.916390042
78.504357,1.72728393
78.570568,1.495561476
78.634998,1.232821596
78.696288,0.971041733
78.758744,0.752840125
78.819413,0.556459369
78.880155,0.416599326
78.937966,0.35788475
78.999492,0.382208449
79.061704,0.498116871
79.122458,0.696098063
79.186555,0.959085197
79.253429,1.243351371
79.315287,1.515728865
79.376014,1.743230058
79.43803,1.92946463
79.499577,2.071052207
79.559906,2.17881451
79.621552,2.272801515
79.688619,2.333292214
79.753308,2.352740082
79.815133,2.335820452
79.880814,2.29509896
79.946778,2.217458369
80.006426,2.166534247
80.069671,2.135878464
80.134686,2.127457998
80.194844,2.149361588
80.256336,2.197964204
80.335375,2.196508006
80.396331,2.174188361
80.452589,2.131618031
80.515536,2.025665315
80.577138,1.862806915
80.637023,1.705679646
80.700839,1.515982852
80.764825,1.285647011
80.825965,1.067394518
80.888183,0.865726105
80.954625,0.674544574
81.020978,0.523275735
81.085081,0.43812203
81.146724,0.414787826
81.207725,0.474717308
81.272343,0.62151578
81.342906,0.855737301
81.413301,1.137727599
81.479247,1.436455931
81.538575,1.721354444
81.60048,1.971928634
81.662467,2.150205393
81.724265,2.283934479
81.789886,2.385950781
81.855156,2.435768935
81.921512,2.418905447
81.986353,2.382467837
82.047782,2.313821723
82.108267,2.20942198
82.169397,2.117302153
82.226961,2.066890318
82.28852,2.032629802
82.356156,2.041779785
82.419007,2.092605886
82.482159,2.144619723
82.543657,2.167668272
82.60278,2.211109822
82.660862,2.198191926
82.717316,2.114418896
82.780397,1.991726055
82.842409,1.847412747
82.904107,1.592135617
82.964573,1.312335318
83.025992,1.056435351
83.087012,0.811455406
83.149072,0.594576247
83.210405,0.460404295
83.271965,0.399454798
83.338316,0.417936318
83.403491,0.532573655
83.467388,0.729640154
83.530707,1.001282254
83.592788,1.30825634
83.664022,1.597895379
83.729642,1.847987854
83.79064,2.051358856
83.852513,2.197702218
83.914662,2.310329522
83.97688,2.380339709
84.039033,2.405371662
84.103133,2.38941836
84.16741,2.346272633
84.229617,2.259954748
84.290202,2.177835911
84.35423,2.119184835
84.419266,2.086499737
84.481254,2.080545519
84.547142,2.112622248
84.605713,2.153580543
84.663966,2.166260117
84.720828,2.149865449
84.785096,2.10836692
84.847855,2.012773073
84.909313,1.872250253
84.971697,1.722828037
85.039671,1.557907457
85.107739,1.345340523
85.173731,1.132202531
85.236508,0.923278984
85.300493,0.721088856
85.368738,0.541679275
85.434441,0.441746323
85.496779,0.42123397
85.570718,0.496685828
85.638545,0.652508246
85.703128,0.906518531
85.765819,1.18588678
85.830515,1.473308517
85.887728,1.742518153
85.951087,2.002935601
86.01265,2.187910595
86.074402,2.345518277
86.138426,2.45409919
86.205386,2.50014486
86.269559,2.467350297
86.331404,2.404385864
86.392363,2.30488635
86.460084,2.198244724
86.525799,2.115465596
86.589538,2.066649396
86.655928,2.056431852
86.723571,2.125100822
86.795892,2.202371403
86.861494,2.245561196
86.921422,2.273963521
86.987411,2.255990114
87.050768,2.095381795
87.114401,1.895503695
87.175652,1.69107718
87.237867,1.449963744
87.302932,1.192900396
87.362481,0.986505015
87.420334,0.788662124
87.481322,0.612551512
87.545776,0.477413838
87.613643,0.398570127
87.673525,0.393335348
87.737833,0.480538936
87.798643,0.648031852
87.860622,0.894374234
87.920578,1.190885169
87.987459,1.496988759
88.052469,1.765769955
88.119157,2.002193232
88.182079,2.193339907
88.244438,2.332566827
88.305382,2.407542333
88.37336,2.448296801
88.435192,2.423041128
88.498764,2.34662541
88.560293,2.248250837
88.621927,2.166181039
88.695549,2.099191487
88.763109,2.07192502
88.826743,2.076693699
88.891429,2.139821549
88.958741,2.221078845
89.026487,2.273352632
89.091008,2.316649668
89.15358,2.337952949
89.218179,2.240707913
89.281283,2.055698438
89.342108,1.859488449
89.408873,1.59858765
89.474064,1.302937992
89.539128,1.046730124
89.6046,0.829379685
89.666762,0.633901013
89.727723,0.50288435
89.788128,0.430901969
89.848681,0.442762738
89.910439,0.544410425
89.974563,0.721029814
90.041944,0.966285086
90.104307,1.267950796
90.169313,1.547895614
90.230746,1.787987317
90.291333,2.003202535
90.358676,2.163051779
